"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0002",4124.25946229582,2.52693842935135,0.167854441421797,15.0543435606894,3.23292416299298e-51,1.82854190658883e-49
"b0003",2544.44249237009,1.94038598464791,0.213511878099177,9.08795333506735,1.00920836209107e-19,1.52350956298588e-18
"b0004",3138.20344634697,1.39235870482472,0.209007087987265,6.66177744608142,2.7053549196779e-11,1.80442068699271e-10
"b0008",20984.2781587225,0.720250387863648,0.206683265470941,3.48480263374257,0.000492500169924196,0.00123620456853162
"b0010",678.293775845347,-0.987129419079533,0.244552095604294,-4.03647908491773,5.42593603678657e-05,0.000160619823224345
"b0011",47.7557518582457,-2.20797716913564,0.572047163390836,-3.85978169360679,0.000113488365436253,0.000319030911981832
"b0013",34.3799834454787,-1.81434974947397,0.63057671222482,-2.87728632266251,0.00401111461353848,0.00839011252003464
"b0014",43046.6885605157,2.16756556622345,0.183728853009394,11.7976329287411,4.01445389184766e-32,1.35153281025538e-30
"b0015",4931.82551481774,1.36592609360027,0.187642893797691,7.27939153972416,3.35329137852542e-13,2.75671744722962e-12
"b0019",10896.4050850738,1.91838255646692,0.166182697297479,11.5438164602231,7.9325858000277e-31,2.43840789592156e-29
"b0020",1681.53058561805,0.843004924591714,0.200159748372344,4.21166059333532,2.53500236453188e-05,8.00110121305373e-05
"b0022",55.7489495335941,-3.15066117802817,0.577705313028072,-5.45375143170108,4.93181292702956e-08,2.23751341566411e-07
"b0023",6401.48199882916,-1.95120871758907,0.230254254785943,-8.47414836873706,2.36805468318217e-17,2.90728947235424e-16
"b0024",105.499555735931,1.12039863106949,0.411885687206177,2.72016888634602,0.006524858191309,0.0129641444719123
"b0031",965.529081196566,0.713584258833256,0.241011390648894,2.96079059546529,0.00306850492761399,0.00652461047766344
"b0032",1607.02090839164,-2.93044866354174,0.241813414708528,-12.1186356310049,8.41483045656e-34,3.07721644799375e-32
"b0033",6018.51585394943,-0.759313856180233,0.212265148701614,-3.57719512988738,0.000347300917759131,0.000895048902268671
"b0036",33.4832376764844,-2.25525856850358,0.725074311999499,-3.11038266172246,0.00186845114506291,0.00415843114236981
"b0037",138.747855749231,-0.767315244432158,0.329262458641226,-2.33040610702676,0.0197846973077261,0.0352929713958679
"b0038",152.24599013386,-0.823461405402612,0.37038896361169,-2.22323418433686,0.0262000128843386,0.0451053748476569
"b0040",36.1659451221048,-2.05343748535548,0.631872921858785,-3.24976338488262,0.00115501066095484,0.00270693658771846
"b0041",34.2143644763278,-1.9572933393193,0.698031617905277,-2.80401816925277,0.0050470060850721,0.0102633747904486
"b0046",152.426977602919,-0.814054329517726,0.319493021308889,-2.54795652869892,0.0108355972532542,0.0204924670300063
"b0053",9140.24215378256,0.492615393937354,0.189431865155302,2.60048853730861,0.00930911289868961,0.0179089600527172
"b0056",286.141134502938,-0.989804552166467,0.255222571182666,-3.87820147559774,0.000105231552658311,0.000297594830917703
"b0059",3508.56630311314,-0.672543018787311,0.187914086003764,-3.57899204412935,0.000344921966984864,0.000889458348905648
"b0060",3750.32341920676,-1.34819907677355,0.19539083935197,-6.90001169576306,5.19982580591306e-12,3.74493396751837e-11
